producto,precio
Acelga,"$ 40,60   por 1 atado/s $ 58,00 30 %"
Ajo (por cabeza),"$ 42,00   por 1 unidad/es $ 60,00 30 %"
Batata,"$ 58,10   por 500 gramos $ 83,00 30 %"
Berenjena,"$ 35,00   por 1 unidad/es $ 50,00 30 %"
Calabaza,"$ 77,00   por 1 unidad/es $ 110,00 30 %"
Cebolla,"$ 56,00   por 1 kilo/s $ 80,00 30 %"
Cebolla Morada,"$ 87,50   por 1 kilo/s $ 125,00 30 %"
Cebolla de verdeo,"$ 14,00   por 1 unidad/es $ 20,00 30 %"
Chaucha rolito,"$ 161,00   por 500 gramos $ 230,00 30 %"
Coliflor,"$ 112,00   por 1 unidad/es $ 160,00 30 %"
Combo box verduras,"$ 746,20   por 1 unidad/es $ 1.066,00 30 %"
Hongos secos de pino 100 gr,"$ 195,23   por 1 unidad/es $ 278,90 30 %"
Huevos por 6 unidades,"$ 53,20   por 1 unidad/es $ 76,00 30 %"
Lechuga Mantecosa,"$ 50,40   por 1 unidad/es $ 72,00 30 %"
Lechuga Morada,"$ 50,40   por 1 unidad/es $ 72,00 30 %"
Lechuga Repollada,"$ 56,00   por 1 unidad/es $ 80,00 30 %"
Lechuga de hoja,"$ 50,40   por 1 unidad/es $ 72,00 30 %"
Mix Hojas Verdes 250 gr,"$ 84,00   por 250 gramos $ 120,00 30 %"
Mix para Horno 500 gr.,"$ 77,00   por 500 gramos $ 110,00 30 %"
Mix para Soffritto 250 gr.,"$ 66,50   por 250 gramos $ 95,00 30 %"
Mix para Sopa 500 gr,"$ 63,00   por 500 gramos $ 90,00 30 %"
Papas lavadas,"$ 79,10   por 1 kilo/s $ 113,00 30 %"
Papines,"$ 84,00   por 500 gramos $ 120,00 30 %"
Pepino,"$ 65,10   por 1 unidad/es $ 93,00 30 %"
Perejil,"$ 14,00   por 1 atado/s $ 20,00 30 %"
Pimiento Rojo,"$ 40,80   por 1 unidad/es $ 48,00 15 %"
Puerro,"$ 26,60   por 1 unidad/es $ 38,00 30 %"
Radichetta,"$ 26,25   por 1 unidad/es $ 37,50 30 %"
Remolachas,"$ 49,00   por 1 atado/s $ 70,00 30 %"
Repollo Blanco,"$ 70,00   por 1 unidad/es $ 100,00 30 %"
Repollo Colorado,"$ 70,00   por 1 unidad/es $ 100,00 30 %"
Rúcula,"$ 46,20   por 1 atado/s $ 66,00 30 %"
Tomate Redondo,"$ 39,20   por 500 gramos $ 56,00 30 %"
Tomates Cherry,"$ 70,00   por 500 gramos $ 100,00 30 %"
Tomates Secos 100 gr.,"$ 106,40   por 1 unidad/es $ 152,00 30 %"
Tomates peritas,"$ 47,60   por 500 gramos $ 68,00 30 %"
Zanahoria,"$ 31,50   por 500 gramos $ 45,00 30 %"
Zapallito,"$ 42,00   por 500 gramos $ 60,00 30 %"
Zucchini,"$ 70,00   por 500 gramos $ 100,00 30 %"
